id,concatted,vendor,product_name,units,brand,detail_url,sku,upc
77,Vendor_C~Product_358,Galleria,Product_204,243ml,Premium Brand,http://example.com/product_77,46214,4970590
78,Vendor_B~Product_121,No Frills,Product_257,339ml,Monster,http://example.com/product_78,37725,7711882
79,Vendor_B~Product_163,Galleria,Product_353,268ml,Premium Brand,http://example.com/product_79,34230,4703642
80,Vendor_B~Product_94,Metro,Product_498,324ml,Generic Brand,http://example.com/product_80,22479,6891249
81,Vendor_D~Product_12,Walmart,Product_218,385ml,Generic Brand,http://example.com/product_81,79291,8152700
82,Vendor_B~Product_481,Metro,Product_160,250ml,Monster,http://example.com/product_82,31485,5611878
83,Vendor_B~Product_249,Galleria,Product_140,208ml,Premium Brand,http://example.com/product_83,58962,5235854
84,Vendor_D~Product_492,Voila,Product_331,227ml,Premium Brand,http://example.com/product_84,73658,6216037
85,Vendor_D~Product_141,Loblaws,Product_477,392ml,Premium Brand,http://example.com/product_85,40869,8828971
86,Vendor_A~Product_306,Save On Foods,Product_218,241ml,Premium Brand,http://example.com/product_86,60017,9999906
87,Vendor_C~Product_448,Metro,Product_396,417ml,Premium Brand,http://example.com/product_87,59758,4907297
88,Vendor_C~Product_33,Voila,Product_476,411ml,Monster,http://example.com/product_88,54810,8963923
89,Vendor_A~Product_152,Save On Foods,Product_128,377ml,Generic Brand,http://example.com/product_89,42794,4277813
90,Vendor_C~Product_9,Loblaws,Product_223,365ml,Premium Brand,http://example.com/product_90,85148,9136556
91,Vendor_E~Product_159,No Frills,Product_11,219ml,Premium Brand,http://example.com/product_91,25838,2760459
92,Vendor_B~Product_352,Voila,Product_255,415ml,Generic Brand,http://example.com/product_92,66701,7180847
93,Vendor_C~Product_194,Save On Foods,Product_15,256ml,Monster,http://example.com/product_93,96930,2821409
94,Vendor_B~Product_384,Loblaws,Product_250,397ml,Premium Brand,http://example.com/product_94,36566,6389717
95,Vendor_E~Product_287,Save On Foods,Product_412,353ml,Generic Brand,http://example.com/product_95,71857,6767605
96,Vendor_E~Product_60,No Frills,Product_382,475ml,Monster,http://example.com/product_96,56095,9768406
97,Vendor_C~Product_91,Walmart,Product_318,340ml,Premium Brand,http://example.com/product_97,92339,1379345
98,Vendor_D~Product_99,No Frills,Product_187,403ml,Premium Brand,http://example.com/product_98,69787,2870310
99,Vendor_D~Product_374,Galleria,Product_407,297ml,Premium Brand,http://example.com/product_99,41512,6997561
100,Vendor_D~Product_225,Galleria,Product_453,260ml,Monster,http://example.com/product_100,50716,7399224
101,Vendor_E~Product_407,Metro,Product_411,387ml,Monster,http://example.com/product_101,99515,5650538
102,Vendor_C~Product_370,Galleria,Product_439,413ml,Generic Brand,http://example.com/product_102,97937,2404315
103,Vendor_A~Product_421,Walmart,Product_85,461ml,Monster,http://example.com/product_103,64219,9533877
104,Vendor_B~Product_202,Save On Foods,Product_20,279ml,Generic Brand,http://example.com/product_104,65291,9490484
105,Vendor_A~Product_171,Voila,Product_210,496ml,Premium Brand,http://example.com/product_105,13230,4235129
106,Vendor_B~Product_147,Walmart,Product_419,250ml,Monster,http://example.com/product_106,79352,6799047
107,Vendor_E~Product_400,No Frills,Product_115,297ml,Monster,http://example.com/product_107,39161,6068228
108,Vendor_C~Product_239,Metro,Product_470,406ml,Premium Brand,http://example.com/product_108,37572,2652727
109,Vendor_D~Product_167,Save On Foods,Product_241,261ml,Monster,http://example.com/product_109,97885,2065237
110,Vendor_D~Product_96,No Frills,Product_155,463ml,Generic Brand,http://example.com/product_110,14488,9298740
111,Vendor_A~Product_240,Metro,Product_207,460ml,Monster,http://example.com/product_111,21842,1326422
112,Vendor_D~Product_306,Walmart,Product_323,380ml,Monster,http://example.com/product_112,14748,8178037
113,Vendor_A~Product_403,Loblaws,Product_5,430ml,Premium Brand,http://example.com/product_113,11433,3532332
114,Vendor_C~Product_132,No Frills,Product_18,345ml,Premium Brand,http://example.com/product_114,37727,7547483
115,Vendor_D~Product_179,Galleria,Product_440,359ml,Generic Brand,http://example.com/product_115,90761,3507416
116,Vendor_C~Product_163,Galleria,Product_158,347ml,Generic Brand,http://example.com/product_116,73812,6503375
117,Vendor_E~Product_290,No Frills,Product_458,449ml,Generic Brand,http://example.com/product_117,21601,8378700
118,Vendor_D~Product_413,Galleria,Product_421,277ml,Generic Brand,http://example.com/product_118,38627,8312371
119,Vendor_D~Product_77,Walmart,Product_451,316ml,Premium Brand,http://example.com/product_119,50773,1786791
120,Vendor_D~Product_484,Walmart,Product_424,419ml,Monster,http://example.com/product_120,60414,3718426
121,Vendor_A~Product_468,Loblaws,Product_373,434ml,Premium Brand,http://example.com/product_121,30753,5052504
122,Vendor_B~Product_310,Save On Foods,Product_203,388ml,Monster,http://example.com/product_122,85676,2081028
123,Vendor_C~Product_230,Walmart,Product_333,356ml,Generic Brand,http://example.com/product_123,53537,5670167
124,Vendor_D~Product_323,Walmart,Product_83,478ml,Generic Brand,http://example.com/product_124,19017,5147372
125,Vendor_C~Product_345,Loblaws,Product_292,462ml,Premium Brand,http://example.com/product_125,92431,6246082
126,Vendor_A~Product_213,Galleria,Product_212,474ml,Monster,http://example.com/product_126,26690,9382670
127,Vendor_E~Product_309,Galleria,Product_315,497ml,Premium Brand,http://example.com/product_127,32046,8450784
128,Vendor_E~Product_424,Galleria,Product_95,375ml,Premium Brand,http://example.com/product_128,38614,2795914
129,Vendor_B~Product_133,Voila,Product_17,357ml,Monster,http://example.com/product_129,47235,2302850
130,Vendor_C~Product_261,Voila,Product_452,349ml,Generic Brand,http://example.com/product_130,96397,7207164
131,Vendor_E~Product_467,Voila,Product_87,388ml,Monster,http://example.com/product_131,97177,1594018
132,Vendor_A~Product_492,Galleria,Product_464,200ml,Monster,http://example.com/product_132,58220,5292523
133,Vendor_D~Product_350,Walmart,Product_105,200ml,Premium Brand,http://example.com/product_133,97428,8049027
134,Vendor_B~Product_71,Metro,Product_142,428ml,Monster,http://example.com/product_134,75191,4416461
135,Vendor_D~Product_366,No Frills,Product_139,200ml,Monster,http://example.com/product_135,12807,1838596
136,Vendor_E~Product_145,No Frills,Product_54,410ml,Generic Brand,http://example.com/product_136,38126,6526093
137,Vendor_E~Product_477,Galleria,Product_133,265ml,Monster,http://example.com/product_137,65440,8022763
138,Vendor_E~Product_256,Voila,Product_126,359ml,Generic Brand,http://example.com/product_138,59874,6680426
139,Vendor_E~Product_98,Galleria,Product_299,264ml,Premium Brand,http://example.com/product_139,94354,7239581
140,Vendor_A~Product_17,Loblaws,Product_268,464ml,Generic Brand,http://example.com/product_140,74430,5320964
141,Vendor_B~Product_189,Metro,Product_70,201ml,Premium Brand,http://example.com/product_141,29550,1439065
142,Vendor_A~Product_267,Voila,Product_163,256ml,Generic Brand,http://example.com/product_142,78803,1828351
143,Vendor_B~Product_270,Walmart,Product_15,389ml,Monster,http://example.com/product_143,24608,8480318
144,Vendor_E~Product_360,Loblaws,Product_206,265ml,Generic Brand,http://example.com/product_144,27288,1915050
145,Vendor_E~Product_161,Metro,Product_273,225ml,Premium Brand,http://example.com/product_145,61518,7611207
146,Vendor_A~Product_162,Save On Foods,Product_252,411ml,Premium Brand,http://example.com/product_146,20281,5798592
147,Vendor_B~Product_448,Loblaws,Product_71,318ml,Generic Brand,http://example.com/product_147,82505,9521571
148,Vendor_E~Product_138,Save On Foods,Product_449,325ml,Generic Brand,http://example.com/product_148,57972,7109255
149,Vendor_D~Product_226,Voila,Product_378,411ml,Monster,http://example.com/product_149,99610,7119529
150,Vendor_B~Product_381,Walmart,Product_402,263ml,Generic Brand,http://example.com/product_150,32866,6904825
151,Vendor_B~Product_38,Walmart,Product_67,258ml,Premium Brand,http://example.com/product_151,77318,6747840
152,Vendor_C~Product_205,Galleria,Product_9,390ml,Monster,http://example.com/product_152,80858,7664004
153,Vendor_A~Product_268,Walmart,Product_267,244ml,Premium Brand,http://example.com/product_153,60045,4795942
154,Vendor_A~Product_291,Walmart,Product_148,400ml,Monster,http://example.com/product_154,75325,3415691
155,Vendor_E~Product_104,Metro,Product_177,275ml,Premium Brand,http://example.com/product_155,14456,5238236
156,Vendor_E~Product_187,Galleria,Product_151,362ml,Monster,http://example.com/product_156,32847,9042389
157,Vendor_C~Product_33,Loblaws,Product_123,419ml,Monster,http://example.com/product_157,19543,5733677
158,Vendor_B~Product_238,Galleria,Product_175,229ml,Monster,http://example.com/product_158,48425,6511807
159,Vendor_E~Product_427,No Frills,Product_228,485ml,Premium Brand,http://example.com/product_159,89540,5410584
160,Vendor_E~Product_118,Save On Foods,Product_114,286ml,Generic Brand,http://example.com/product_160,13685,5836064
161,Vendor_C~Product_267,No Frills,Product_154,311ml,Generic Brand,http://example.com/product_161,21981,7466011
162,Vendor_C~Product_328,Voila,Product_227,490ml,Generic Brand,http://example.com/product_162,24602,7803222
163,Vendor_A~Product_81,Walmart,Product_244,405ml,Generic Brand,http://example.com/product_163,67499,3259918
164,Vendor_D~Product_260,Loblaws,Product_420,376ml,Premium Brand,http://example.com/product_164,22247,2442266
165,Vendor_B~Product_76,Save On Foods,Product_267,314ml,Generic Brand,http://example.com/product_165,87480,3979824
166,Vendor_A~Product_303,Galleria,Product_217,486ml,Premium Brand,http://example.com/product_166,41328,5834293
167,Vendor_B~Product_184,Loblaws,Product_428,485ml,Monster,http://example.com/product_167,33540,5415903
168,Vendor_D~Product_14,Save On Foods,Product_333,227ml,Monster,http://example.com/product_168,43842,3419564
169,Vendor_E~Product_51,Loblaws,Product_466,407ml,Monster,http://example.com/product_169,28117,9232354
170,Vendor_A~Product_155,Loblaws,Product_107,380ml,Premium Brand,http://example.com/product_170,95809,8022480
171,Vendor_A~Product_75,Metro,Product_456,221ml,Monster,http://example.com/product_171,95493,6095143
172,Vendor_A~Product_433,Galleria,Product_179,254ml,Monster,http://example.com/product_172,38573,2982130
173,Vendor_E~Product_413,Voila,Product_336,228ml,Premium Brand,http://example.com/product_173,43621,8230551
174,Vendor_C~Product_422,Walmart,Product_79,359ml,Premium Brand,http://example.com/product_174,53734,4467826
175,Vendor_A~Product_236,Galleria,Product_479,395ml,Premium Brand,http://example.com/product_175,86774,1813810
176,Vendor_B~Product_275,Save On Foods,Product_149,403ml,Monster,http://example.com/product_176,41048,5784061
177,Vendor_B~Product_277,Galleria,Product_95,213ml,Generic Brand,http://example.com/product_177,82981,4776980
178,Vendor_A~Product_49,Metro,Product_498,445ml,Monster,http://example.com/product_178,24764,2031808
179,Vendor_B~Product_262,Galleria,Product_308,308ml,Premium Brand,http://example.com/product_179,95896,4784438
180,Vendor_A~Product_325,Save On Foods,Product_165,213ml,Premium Brand,http://example.com/product_180,76339,3041197
181,Vendor_E~Product_241,Loblaws,Product_327,473ml,Generic Brand,http://example.com/product_181,69563,6812776
182,Vendor_B~Product_216,No Frills,Product_31,209ml,Premium Brand,http://example.com/product_182,75904,8020913
183,Vendor_C~Product_254,No Frills,Product_381,485ml,Generic Brand,http://example.com/product_183,12301,7894310
184,Vendor_E~Product_144,Galleria,Product_31,313ml,Monster,http://example.com/product_184,61432,7011107
185,Vendor_D~Product_457,Walmart,Product_434,468ml,Generic Brand,http://example.com/product_185,14590,2747085
186,Vendor_E~Product_363,Save On Foods,Product_434,353ml,Premium Brand,http://example.com/product_186,33861,9875942
187,Vendor_B~Product_229,Galleria,Product_234,316ml,Generic Brand,http://example.com/product_187,13640,6083702
188,Vendor_A~Product_334,Save On Foods,Product_485,417ml,Premium Brand,http://example.com/product_188,95536,2583617
189,Vendor_D~Product_127,Walmart,Product_272,351ml,Premium Brand,http://example.com/product_189,65501,1178711
190,Vendor_B~Product_190,Galleria,Product_11,368ml,Generic Brand,http://example.com/product_190,41709,9200943
191,Vendor_E~Product_69,Galleria,Product_137,359ml,Generic Brand,http://example.com/product_191,99960,9636516
192,Vendor_A~Product_491,Save On Foods,Product_189,482ml,Premium Brand,http://example.com/product_192,90528,1976094
193,Vendor_E~Product_120,Metro,Product_201,324ml,Premium Brand,http://example.com/product_193,67870,7164860
194,Vendor_A~Product_30,Voila,Product_1,457ml,Monster,http://example.com/product_194,18884,3123620
195,Vendor_D~Product_318,Voila,Product_409,256ml,Premium Brand,http://example.com/product_195,54444,5248660
196,Vendor_C~Product_429,No Frills,Product_178,447ml,Monster,http://example.com/product_196,88905,5769874
197,Vendor_A~Product_116,Loblaws,Product_411,372ml,Monster,http://example.com/product_197,16350,3999699
198,Vendor_A~Product_68,Loblaws,Product_64,310ml,Premium Brand,http://example.com/product_198,77442,7994217
199,Vendor_B~Product_68,Walmart,Product_61,217ml,Monster,http://example.com/product_199,41553,5148274
200,Vendor_D~Product_491,Galleria,Product_412,327ml,Monster,http://example.com/product_200,41730,1851720
201,Vendor_B~Product_96,Metro,Product_422,206ml,Premium Brand,http://example.com/product_201,31392,6477730
202,Vendor_A~Product_92,Walmart,Product_162,213ml,Monster,http://example.com/product_202,79609,5808770
203,Vendor_E~Product_469,Voila,Product_28,255ml,Generic Brand,http://example.com/product_203,61441,9036179
204,Vendor_E~Product_180,Walmart,Product_237,361ml,Generic Brand,http://example.com/product_204,47122,6628463
205,Vendor_A~Product_70,Galleria,Product_459,409ml,Premium Brand,http://example.com/product_205,27887,5525101
206,Vendor_A~Product_298,Metro,Product_133,479ml,Generic Brand,http://example.com/product_206,32192,3412404
207,Vendor_E~Product_276,Galleria,Product_441,496ml,Generic Brand,http://example.com/product_207,33207,6117671
208,Vendor_E~Product_251,Walmart,Product_216,200ml,Monster,http://example.com/product_208,65438,8084495
209,Vendor_B~Product_465,Galleria,Product_116,361ml,Premium Brand,http://example.com/product_209,90510,4689752
210,Vendor_B~Product_75,Galleria,Product_259,441ml,Premium Brand,http://example.com/product_210,84805,5636746
211,Vendor_E~Product_296,Loblaws,Product_133,292ml,Premium Brand,http://example.com/product_211,42710,3591916
212,Vendor_A~Product_405,Save On Foods,Product_413,365ml,Generic Brand,http://example.com/product_212,59108,1979219
213,Vendor_A~Product_229,Save On Foods,Product_200,344ml,Premium Brand,http://example.com/product_213,20824,4889345
214,Vendor_E~Product_224,Walmart,Product_131,457ml,Generic Brand,http://example.com/product_214,41083,5807202
215,Vendor_E~Product_58,Voila,Product_302,295ml,Monster,http://example.com/product_215,64802,7025185
216,Vendor_D~Product_83,Save On Foods,Product_318,469ml,Premium Brand,http://example.com/product_216,49287,9948031
217,Vendor_E~Product_299,Voila,Product_270,450ml,Monster,http://example.com/product_217,33939,2566266
218,Vendor_E~Product_257,Metro,Product_463,449ml,Premium Brand,http://example.com/product_218,34788,1152483
219,Vendor_D~Product_162,Galleria,Product_207,384ml,Monster,http://example.com/product_219,47755,3572177
220,Vendor_B~Product_76,Loblaws,Product_241,299ml,Premium Brand,http://example.com/product_220,27412,1359089
221,Vendor_E~Product_398,Loblaws,Product_451,475ml,Premium Brand,http://example.com/product_221,80840,8237376
222,Vendor_A~Product_67,Metro,Product_82,370ml,Generic Brand,http://example.com/product_222,97654,7065596
223,Vendor_A~Product_304,Voila,Product_123,238ml,Monster,http://example.com/product_223,63884,9889203
224,Vendor_B~Product_20,Loblaws,Product_485,419ml,Monster,http://example.com/product_224,41011,7464335
225,Vendor_A~Product_256,Metro,Product_333,477ml,Premium Brand,http://example.com/product_225,68144,4049168
226,Vendor_B~Product_90,Walmart,Product_130,499ml,Monster,http://example.com/product_226,43205,5150184
227,Vendor_E~Product_132,Walmart,Product_302,384ml,Premium Brand,http://example.com/product_227,64934,9116501
228,Vendor_A~Product_4,No Frills,Product_370,426ml,Monster,http://example.com/product_228,94314,4011622
229,Vendor_C~Product_218,Metro,Product_58,280ml,Monster,http://example.com/product_229,63833,2958293
230,Vendor_B~Product_449,Save On Foods,Product_230,361ml,Monster,http://example.com/product_230,86347,6043794
231,Vendor_B~Product_217,Loblaws,Product_70,260ml,Monster,http://example.com/product_231,59373,3968602
232,Vendor_E~Product_253,Loblaws,Product_16,454ml,Premium Brand,http://example.com/product_232,69771,2865882
233,Vendor_D~Product_81,Voila,Product_1,365ml,Monster,http://example.com/product_233,47950,6879541
234,Vendor_A~Product_213,Loblaws,Product_291,277ml,Premium Brand,http://example.com/product_234,78420,4671991
235,Vendor_E~Product_36,Metro,Product_160,335ml,Premium Brand,http://example.com/product_235,37845,4825114
236,Vendor_B~Product_145,Walmart,Product_285,234ml,Monster,http://example.com/product_236,20199,9730123
237,Vendor_E~Product_423,Save On Foods,Product_439,367ml,Generic Brand,http://example.com/product_237,34546,6356034
238,Vendor_B~Product_249,Galleria,Product_375,271ml,Monster,http://example.com/product_238,31512,2345336
239,Vendor_B~Product_59,No Frills,Product_19,333ml,Monster,http://example.com/product_239,10636,6055212
240,Vendor_D~Product_69,No Frills,Product_186,353ml,Premium Brand,http://example.com/product_240,61788,4706673
241,Vendor_C~Product_221,Metro,Product_12,379ml,Premium Brand,http://example.com/product_241,20581,3038493
242,Vendor_D~Product_137,Galleria,Product_338,203ml,Premium Brand,http://example.com/product_242,15816,9742222
243,Vendor_C~Product_287,Galleria,Product_68,210ml,Monster,http://example.com/product_243,91024,1070467
244,Vendor_C~Product_198,Voila,Product_149,347ml,Premium Brand,http://example.com/product_244,29487,9422089
245,Vendor_C~Product_297,Walmart,Product_110,351ml,Premium Brand,http://example.com/product_245,50135,6172066
246,Vendor_E~Product_415,No Frills,Product_241,321ml,Premium Brand,http://example.com/product_246,79399,1788554
247,Vendor_C~Product_35,Metro,Product_363,203ml,Monster,http://example.com/product_247,18624,7648638
248,Vendor_B~Product_73,No Frills,Product_415,440ml,Generic Brand,http://example.com/product_248,94714,1470847
249,Vendor_C~Product_305,Walmart,Product_317,331ml,Premium Brand,http://example.com/product_249,43786,5158647
250,Vendor_A~Product_483,No Frills,Product_78,214ml,Premium Brand,http://example.com/product_250,65931,5950024
251,Vendor_E~Product_251,Galleria,Product_456,443ml,Monster,http://example.com/product_251,29583,3151519
252,Vendor_A~Product_422,Metro,Product_170,210ml,Monster,http://example.com/product_252,10187,7879063
253,Vendor_D~Product_82,No Frills,Product_46,256ml,Monster,http://example.com/product_253,60675,2310969
254,Vendor_B~Product_401,Save On Foods,Product_159,360ml,Monster,http://example.com/product_254,99155,7571300
255,Vendor_B~Product_333,Loblaws,Product_179,340ml,Monster,http://example.com/product_255,97006,2183859
256,Vendor_D~Product_364,Walmart,Product_373,200ml,Generic Brand,http://example.com/product_256,70190,4718314
257,Vendor_A~Product_175,Loblaws,Product_56,390ml,Monster,http://example.com/product_257,68478,6662802
258,Vendor_D~Product_93,Voila,Product_426,315ml,Premium Brand,http://example.com/product_258,33120,1747322
259,Vendor_E~Product_234,No Frills,Product_147,263ml,Generic Brand,http://example.com/product_259,94394,2518902
260,Vendor_E~Product_309,Metro,Product_175,449ml,Monster,http://example.com/product_260,87993,7120653
261,Vendor_C~Product_272,No Frills,Product_209,490ml,Premium Brand,http://example.com/product_261,93121,6357095
262,Vendor_E~Product_481,Loblaws,Product_17,219ml,Premium Brand,http://example.com/product_262,36320,8366055
263,Vendor_E~Product_486,Galleria,Product_418,267ml,Monster,http://example.com/product_263,52391,5681915
264,Vendor_C~Product_143,No Frills,Product_186,282ml,Premium Brand,http://example.com/product_264,92447,7329852
265,Vendor_A~Product_347,Galleria,Product_232,490ml,Generic Brand,http://example.com/product_265,67079,8915908
266,Vendor_C~Product_150,Voila,Product_377,233ml,Premium Brand,http://example.com/product_266,81139,5756171
267,Vendor_D~Product_136,No Frills,Product_483,353ml,Generic Brand,http://example.com/product_267,20209,8319959
268,Vendor_B~Product_321,Save On Foods,Product_106,369ml,Generic Brand,http://example.com/product_268,83423,6053573
269,Vendor_E~Product_454,Voila,Product_475,204ml,Premium Brand,http://example.com/product_269,77718,7415399
270,Vendor_A~Product_497,Save On Foods,Product_177,221ml,Monster,http://example.com/product_270,70494,6656140
271,Vendor_D~Product_214,Voila,Product_18,203ml,Generic Brand,http://example.com/product_271,60314,1558792
272,Vendor_C~Product_198,Loblaws,Product_243,330ml,Generic Brand,http://example.com/product_272,66567,2979482
